Clue,Answer
"He could be tough, lacking love? (4)",THUG
Shellfish that’s uncooked put into empty pan (5),PRAWN
"Sweet having me in calmer race, somehow (5,7)",CREME CARAMEL
Unruffled sound from cow in south (6),SMOOTH
"Having climbed moor? That is right, it’s more spacious (7)",ROOMIER
"Tipping hat, one overseeing man, hard-working (8)",DILIGENT
Nasty stain mars a chair arm initially — protective cloth found (12),ANTIMACASSAR
"MP should get back in here (4,4)",SAFE SEAT
One working no longer referring to Scottish island (7),RETIREE
"Disconcert painter, non-drinker, extremely likable (6)",RATTLE
Pursue ornament with engraving (5),CHASE
Care for those experiencing niggling delays at first (4),TEND
Dead trees consumed by fire without much opportunity to think? (9),HEADFIRST
Deduce number will have escaped fire (5),INFER
"Just this for Latin scholar, with others hanging around (7)",ETHICAL
Be sad for us in midst of glumness (5),MOURN
"Urn? More a vase, possibly, not European (7)",SAMOVAR
This man I set to work with contraption initially? (9),MACHINIST
"Very harmful to take out city on Atlantic coast, American (11)",DELETERIOUS
Previous beliefs (11),CONVICTIONS
Geographical area in study with infestation by insect (6),CANTON
Assails farm animals seen around middle of pasture (8),LAMBASTS
"Surrounded by a fog, holding on to daughter (6)",AMIDST
Is jabbing American after somewhat cheeky expression of age (8),ARCHAISM
"Doctor locates legible astronomical reference (9,5)",CELESTIAL GLOBE
Arrange to bring in computers for people (5),LAITY
Recalled nothing being secured through extra attribution to writer (6),BYLINE
Judge savaged scoundrel after artillery backed ordinary soldiers (10),ARBITRATOR
"As done with slur, possibly (10)",SLANDEROUS
Duke is taken by a soldier displaying charm (6),DISARM
Suspends comments about post finally (5),STAYS
"Smashed single forehand? I'm not upset (2,4,8)",NO HARD FEELINGS
Old film star to fail after curtailment of skill (8),ARBUCKLE
Permit briefly restricting work held back space program (6),APOLLO
Discovers American receiving close to half of this (8),UNEARTHS
South-East area in article in The Times at first (6),THANET
Necessary ordnance not initially functioning (11),INESCAPABLE
Impromptu nude dancing — tries again to interrupt (11),UNREHEARSED
"Steep drop in price amended, then restated without right (9)",PRECIPICE
A story with beginning repeated is easily approached (7),AFFABLE
"Boy with it turns, following effect of the moon? (5)",TIDAL
"Inactive case's ending, Times having time in court (7)",EXTINCT
King taking a position no longer viable (5),KAPUT
"Arrived without forethought, unknown, not attracting the paparazzi? (6-3)",CAMERA
Rather wet smell concealed from some Londoner (5),HUMID
"Mandarin's target perhaps to catch a rat blundering disaster (1,4,2,1,5,4)",A BULL IN A CHINA SHOP
Party heading off distrustful party-worker? (11),FUNCTIONARY
Relaxation involves identification of alternative holiday venue (6),RESORT
Supply worker has spoken — about time (8),TEMPORAL
"This in nib is, like, very mysterious? (9,3)",INVISIBLE INK
"Mining output about to be brought in more quickly, I predict (10)",FORECASTER
Type of city where one does as the locals? (5),ROMAN
"Woman impresses youngster, eating a Mexican dish (9)",ENCHILADA
Likely to go off with the least amount of a shock? (4-7),HAIR
Material in patch in overalls (5),CHINO
Trial in US city making the news (6),LATEST
Strain to get issue out at night (10),CRADLESONG
"Unhappy about routine picked up over a year, or a lot less (8)",SATURDAY
"More than just a trim diminutive defender accompanying teams (5,4,3,5)",SHORT BACK AND SIDES
I very much refuse to consider weather indicator (6),ISOBAR
Historic city reduced in particular view of the past (10),RETROSPECT
Dreadful detective caught scoundrel with gold (8),C LOUSE
Wall in middle of commune? Anger about that (6),IMMURE
"Light meal and better punch — good to tuck in (6,6)",FINGER BUFFET
Neglect before Liberal engaged in speech (11),DERELICTION
"Go furthest at sea, clutching a description of buried treasure? (6-5)",SOUGHT
Answer promoted in plan to desert assistant (4-2-4),AIDE
"Pay for photograph, having degree of influence (9)",FOOTPRINT
"Sweet, like lots of sugar that woman is tucking into (8)",CHERUBIC
Spot that's fairly quiet in big building (6),PIMPLE
Calm senior politician enlisting hard supporter (6),PHLEGM
"Big match, perhaps, with no winner determined by end of it (5)",EVENT
Despairing poet moving end of verse to earlier position (5),BLEAK
Democrat and friend are amorous together (5),DALLY
"Posh females and others in pub that serves food (6,3)",BUFFET CAR
Reminder about university being complacent (5),PROUD
Sick bird sounded wrong (7),ILLEGAL
"With pride, she loses in brawling (7)",LIONESS
Design on cent’s piece coined for particular occasion (5),NONCE
"Where coals are not hot, mix with others (9)",INTEGRATE
Snake in alien surroundings — through water it sped (1-4),E-BOAT
Northern location where cool writer joins ship (9),INVERNESS
"Sweetheart given break to find mangetout (5,4)",SUGAR SNAP
Bones in bag next to top drawer? (5),SACRA
"Server misses one playing pool game (5,4)",WATER POLO
Learner in military group not exactly bright (5),UNLIT
Maybe two for one in Bury (7),INTEGER
Not keen on what some doctors do in delivery method (3-4),OFF-SPIN
Eponymous heroine saves island home for birds (5),EYRIE
"Comic, Eagle, keeping one enlightened (5,4)",ERNIE WISE
Grim at all times in southeast (6),SEVERE
"Fur belonging to myself after earl, oddly (6)",ERMINE
"Man, say, in Paisley (4)",ISLE
Shrub with red or white flowers — unusually red alone (8),OLEANDER
Brief respite with time for papa to recover (8),RETRIEVE
Indifferent emergency appeal gains nought (2-2),SO-SO
"Co-operating group assembling Brexit, Labour or Conservative leaders (4)",BLOC
Still on the sea bed around California and Maine (8),BECALMED
Paraffin oil’s odd treatment for sore knee (8),KEROSENE
A mostly concrete neighbourhood (4),AREA
Fool in hospital left ecstasy — bother (6),HASSLE
Coarse east European taking Victor for British (6),VULGAR
What mollusc inhabits ocean’s lower regions? (8),SEASHELL
Rue eroticism that’s deviant and only superficially attractive (12),MERETRICIOUS
Unscramble lyric after a month (6),DECODE
The Queen always up for respect (6),REVERE
Formerly working with civil engineer (4),ONCE
Short word some feel bally son omitted to send back (12),MONOSYLLABLE
"Contend with immoral behaviour, shunning clubs (3)",VIE
Bony eel takes cooking (8),SKELETAL
Barley regularly ends in new ale and beer for him? (6),BREWER
Quit after Conservative split (6),CLEAVE
Former partner with morning paper (4),EXAM
Poet’s residence by river (5),HOMER
Drifting wreckage seen as half of family lost at sea(7),FLOTSAM
Cleric leaving one place of worship (7),MINSTER
Ate some shortbread in Edinburgh (5),DINED
"Comedian keeping end of jokes clean is matter ofspace (6,4)",COSMIC DUST
Definitely not embracing king and country (6),NORWAY
"New throne for queen, perhaps (6)",HORNET
"Rhyming couplet that has four sprightly feet? (5,5)",HOUSE MOUSE
Book a woman’s back treatment (5),REHAB
Bard’s beginning revision of woeful epic poem (7),BEOWULF
A loud cry after wife’s total failure (7),WASHOUT
The same detective returned over the top (5),DITTO
Bad smell linked to papa? It’s a hunch (4),HUMP
Fix blokes drinks at the outset… (4),MEND
… A justification to share out beer? (9),RATIONALE
Discussion groups university introduced to classes (6),FORUMS
Former heads of our legal department (3),OLD
Fruity buns turn scorched on the outside? (8),SUNBURNT
Contemplate friend consuming awful diet (8),MEDITATE
Bridge news: a much-loved part of The Times (9),CROSSWORD
"Wear thin, possibly becoming bare (2,3,3)",IN THE RAW
Game in which St Helens initially defend after turnover(8),DRAUGHTS
Fight Club follows The Big Sleep (final cut) (6),COMBAT
Cambridge boat’s gamble (4),PUNT
Mop of hair caught up in extractor fan (4),AFRO
Expression of dissent forbidden? No thanks! (3),BOO
"After silence, hands round the writer's contract (7)",SHRIVEL
Many dogs taking the lead off (6),OODLES
"Twirling, maybe the ladies one saw approved (9)",VALIDATED
Great Britain's flipping harsh (5),ACERB
Vehicle broken by butcher’s van in badly neglected state (5),LIMBO
Venture into Microsoft's domain is trouble for corporation (9),ENTERITIS
"Particular sin, snatching diamonds from the east (8)",ESPECIAL
Wit's heartless riposte wounded (6),ESPRIT
Withdraw money that’s regularly paid to carry around (6),RECANT
"Knight, travelling far, is in China (8)",PARSIFAL
"Primary colour nobody's drawing in (6,3)",NUMBER ONE
Spray bound to release nitrogen (5),SPRIG
Do away with Times editorial’s introduction (5),ERASE
"Vessel's sharp, turning and heading for army bases (9)",SUBSTRATA
"Cereal, tons on ground mostly (6)",MILLET
"Apt to see red snake, in fancy (7)",WASPISH
"Bad sign, boarding Sierra to travel around, one may end up in jam (7,6)",SEVILLE ORANGE
Cold food after bread is shock (7),ROLLMOP
"Record kept by Crusoe, divided up (5)",VIDEO
Christian left university and rushed to pen article (8),LUTHERAN
"Offbeat individual note lifted song, not a tango (6)",ODDITY
What's in Brontë novel read twice is inspiring English (9),DIAERESIS
Medical department that constantly admits horseman (7),EVENTER
"Black grape intertwined with the lush grapevine (4,9)",BUSH TELEGRAPH
"Gull, say, overturned angler’s device to get fish (6,3)",CONGER EEL
"What some musicians do before and after concert? (4,1,3)",TAKE A BOW
Intoxicating substance affected air supply (7),CAMPARI
Car to go wrong on a boring day (7),FERRARI
Back supporter in my place (6),CORSET
Places quotes from speakers (5),SITES
Check through rental agreement after expensive race (12),STEEPLECHASE
"Trim dog, say, a little bit (7)",SNIPPET
Meat embargo broken by firm (5),BACON
"I rent, poor and lazy (5)",INERT
Most elegant to dine in comfortable home (7),NEATEST
"A piece of joint work so divided? (2,3)",IN TWO
"Arrives to drink, after some bread (5,2)",ROLLS UP
"Not spoiled, I kept single (9)",UNMARRIED
Attack and steal from boy (3),ROB
Woman at home serving meals is a courtier (4-2-7),LADY-IN-WAITING
Siamese perhaps taking grass in China once (6),CATHAY
"Born and died, unknown, poor (5)",NEEDY
Luscious spy I treated with caution (12),SUSPICIOUSLY
Demanding old fellow takes one in (7),EXIGENT
Little bird: spot it? (5),PIPIT
"Taken in and defeated, but not bowled (5)",EATEN
Some boots are holed — a bin will recycle (9),HOBNAILED
"Confidence over years employed in spying outfit (6,7)",SECRET SERVICE
"In a way, exercise lifting part of foot (6)",INSTEP
Monstrous drunken orgies at hotel (7),OGREISH
Transport company complain bitterly over route (7),RAILWAY
Assistant brought up to support mass TV etc (5),MEDIA
"To hold goods, purchase light vehicle (5)",BUGGY
North European misses fine pub (3),INN
Some discontent on gallant island nation (5),TONGA
Surrender vilified after retreat (7),DELIVER
Heavy trampolinist? (7),BOUNCER
Average is capital! (5),PARIS
"Expensive clasps are, almost entirely, delicate (10)",PRECARIOUS
An American girl far from home? (6),ABROAD
"Nebuchadnezzar, for example, daring (6)",BOTTLE
US president plying heroes with wine (10),EISENHOWER
"Artist mid-morning, maybe, returning (5)",MANET
"Hearing of our nation, this English composer (7)",BRITTEN
Give account of art near complex (7),NARRATE
Arctic fleet (5),NIPPY
Instrument neighbour put up (4),TUBA
Absence of American intelligence (4),NOUS
Discover fluff in car seat (9),ASCERTAIN
Frank having credit renewed (6),DIRECT
Drink: a complete round (3),LAP
"So bottomless, opening for drink (8)",VERMOUTH
Incredible dessert I held back (8),RESISTED
"Old African horse and I, struggling (9)",RHODESIAN
"Out of order, nameless traders (8)",SALESMEN
"Voting system about right, is one captive? (8)",PRISONER
Fix strange blue drink (6),DOUBLE
Cease work below street (4),STOP
"Sole aplenty, reel in two, all tails up (4)",ONLY
Food and drink (3),TEA
Cleric — a Roman Catholic — bound to admit mistake (10),ARCHBISHOP
Daughter is wanting hot food (4),DISH
Wild river crossed by this writer's companion (10),IMMODERATE
Object of worship in Delhi or Lahore principally (4),IDOL
Tampers with some marks on exam paper? Nonsense (12),FIDDLESTICKS
"Writer knocked back drink after drink, going round Australia (5,4)",EMILE ZOLA
"Affected Florentine painter I ignored (3,2)",GOT TO
Pan for cook (5),ROAST
Sailing vessel's crew stole through empty street (9),STEAMBOAT
Resourceful burglar with crowbar might? (12),ENTERPRISING
Band's big hit (not the second) (4),SASH
"Noting a royal figure with duke visiting urban area (6,4)",TAKING DOWN
American entering Malayan kingdom (4),YANK
Form of SATs bandied about in these? (10),STAFFROOMS
"Line of cabs, first one leaving (4)",AXIS
Holiday site with parking close to river (4),CAMP
"Base politician stifling newspaper account of late (7,5)",BEDTIME STORY
"Divided among several people, except for a small amount (5)",SHRED
"Like Nana, perhaps, he got name changed (2,3,4)",ON THE GAME
"In a manner of speaking, concealing a piece of evidence (10)",INDICATION
"Presents  lectures (5,5)",HOLDS FORTH
"Male celebrity upset by a German worker behind the scenes (5,7)",STAGE MANAGER
Boldly rush around like Van Gogh? (10),FEARLESSLY
Brexit extremists clashing with Parisian supporting both sides (10),BIPARTISAN
Attentive valet supports old bachelor (9),OBSERVANT
"Pursuing last of scullers, row hard (5)",STIFF
Leading Motown duo on revolutionary sort of recording (4),MONO
"Spanish woman tucks in, skipping starter (4)",INES
Member met by Yankee host (4),ARMY
Leaves a couple of cents in battered boot (7),TOBACCO
"Freezer box you can buy in lingerie department (9,4)",SUSPENDER BELT
"Kick, but not from drug (3)",TOE
"Drinks excessively at first, leading to fall (5)",LAPSE
Sang with partner? Awful deed: tut! (7),DUETTED
"Aggressive driver got a piggyback I hear! (4,3)",ROAD HOG
Former article and manuscript used for tests (5),EXAMS
The vicar’s turn (3),REV
"She starved you badly: it’s time for pancakes! (6,7)",SHROVE TUESDAY
Let us in after fixing tool (7),UTENSIL
"Cold, boy dressed (4)",CLAD
Sailor upset banks: he’s let himself down? (8),ABSEILER
Some blossoms on climbing plant (4),MOSS
Ordered short tip passed on (6),TIDIED
"With this lofty perspective I’d be very wise, somehow (5-3,4)",BIRDS-EYE-VIEW
"Stuff that includes a note and a fattening meal (5,3)",CREAM TEA
Appeal? You’ll get nothing on a Thursday! (4),OATH
"Gambler with small beers for spouses (6,6)",BETTER HALVES
"Branches stocking first Christmas present (4,4)",PEAR TREE
Unhappy when DIY’s made complicated (8),DISMAYED
"Initially going, returning, end to end, like a little girl lost (6)",GRETEL
Biblical character appearing in thesaurus (4),ESAU
Hero doing nothing to an audience (4),IDOL
"Dote best, madly infatuated (8)",BESOTTED
Following legislation is a mistake (4),FLAW
Teacher to express disapproval otherwise (5),TUTOR
Widespread and rank (7),GENERAL
"Amusing to go into children’s game, squeezing in twice (12)",ENTERTAINING
Citrus cultivated in the countryside (6),RUSTIC
An individual for each lad (6),PERSON
"NASA craft has gap closed with tile when one is missing (5,7)",SPACE SHUTTLE
Opposite of sweet name for a bird (7),BITTERN
"Originally seen in black and white days, yet rude in funny way (5)",BAWDY
Behave like a twister in a gale (4),WIND
"Go grey, be upset? Indeed! (2,6)",BY GEORGE
Some celeb at home somewhere in Somerset (4),BATH
"Occupied a chair, wearing shiny cloth (5)",SATIN
"People with XY chromosomes after YYY said visitors from the east (5,4,3)",THREE WISE MEN
Four score - important when opener is dismissed (6),EIGHTY
Misleading statements about old Rolls Royce vehicles (7),LORRIES
Perhaps Mozart‘s predatory pack (8),WOLFGANG
Hard to absorb popular summary with scriptures omitting first book (12),INDIGESTIBLE
"Peevish, formal greeting, showing arm (8)",CROSSBOW
Excitedly ran past Leonidas for example (7),SPARTAN
"Tending to complain, interrupted by new horse’s noise (6)",WHINNY
Bring down one that goes “moo” (5),LOWER
Outwardly visible parts of priestly role in cremation site (4),PYRE
"Professional and devout person, highly thought of, completely overcome (10)",PROSTRATED
Fictional thief in gambling enterprises (7),RAFFLES
"Page by girl, not poetic writing (5)",PROSE
Boy bowled over having got hold of hard author (4),DAHL
Great sin could make you most irate (8),ANGRIEST
Female occupying barn or mansion (5),NORMA
Do well reading out two letters (5),EXCEL
Piece of music? Criticise performance in the auditorium (8),NOCTURNE
One past Shakespearean villain (4),IAGO
"Jack obtained, not good card (5)",TAROT
"Greet us, somehow giving signal (7)",GESTURE
Men's debate rambling: a lowering of quality (10),DEBASEMENT
"The old man, looking embarrassed, shaved (5)",PARED
"No longer in the groove musically and not to be talked about (3,3,6)",OFF THE RECORD
Legendary marksman’s order (4),TELL
Agreement as communicated (6),ASSENT
Former hospital worker becoming international trader (8),EXPORTER
Terminology set out in lecture on Man (12),NOMENCLATURE
Intellectual fellows converse endlessly (6),MENTAL
Get a tube made specially for lunch in France? (8),BAGUETTE
Number I catch being smuggled into US city (6),NINETY
Puzzle in game to be worked out (6),ENIGMA
Open a series of deliveries arriving on time (5),OVERT
Passage cut off at one end — it is surrounded by water (4),ISLE
Like an eager consumer's fashion sense? (8),RAVENOUS
Evil King Edward blocked by good Harry (6),BADGER
Our place next to the middle of Shakespeare's Globe (6),SPHERE
Familiarity with one formation for Man. City (8),INTIMACY
Pick up extremely huge feet (4),HEFT
"Gripping but deplorable, banning book and introductory note (10)",PREHENSILE
Hard way to admit transgression after rebuffing indulgence (8),HEDONISM
"Breaking strike, ring to use non-standard phone service (4)",ROAM
You've every right to steer clear of fattened pig in this! (4),POKE
Loom yarn cut meshed fabric backing (8),THREATEN
Capable worker who's going places? (10),JOURNEYMAN
"Out of time, unable to escape creation of partial vacuum (4)",SUCK
A Brit demolished in cast’s denunciation (8),DIATRIBE
Design interior to go in (6),TRENDY
Objections overturned through being blunt (6),STUBBY
"Ascent's ending in panorama before each climber (5,3)",SWEET PEA
Fruit drink containing pip's husk (5),APPLE
"Lie etc, to change single ruling party? (11)",ELECTIONEER
Provide auditor's initial forms with unearned income (8),OVERPAID
"Expression of surprise on board, beset by palpitations? (6,2,7)",SHIVER MY TIMBERS
Bishop unqualified to give flattery (6),BUTTER
"With poor visibility, just over half a kilometre? (3)",DIM
Embracing large secretary is mate no longer pretty clear? (9),EXCULPATE
"Did something to straighten bed, perhaps, and tables? (11)",SPREADSHEET
I could be worried to see lost ice go (9),ECOLOGIST
"Around theatre season, Baby Jane actor is no blonde (8)",BRUNETTE
"Girl about town, big one, heads off (6)",VERITY
Worry about Democratic campaign group? (5),CADRE
Flap about a bit — that's more than enough (3),TAB
"Relaxing journey through S American country, you say: Brazil? (8,3)",CHILLING OUT
Female secretary assigned to spy master (3),PAM
Coach that could be due? (9),DILIGENCE
Old stone prison (5),OFLAG
Higher education campus perhaps mostly overwhelmed by change (7),VARSITY
"Namely, union's bringing in police force (7)",IMPETUS
Head of chemistry has a way with English class (5),CASTE
Musical work opening shortly with melody that's suitable (9),OPPORTUNE
Who might point out errors in Biblical book? A clergyman (9),CORRECTOR
Police inspector seizing stolen garment (5),DHOTI
"Working at rear of house, as Cinderella was (3,4)",PUT UPON
Variation is introduced into Ravel composition (7),REVISAL
US president put on gangster's uniform (5),ALIKE
"After working, you're all black ... and another colour (5,4)",ROYAL BLUE
Old Arab maybe hitches away from borders (3),NAG
"Wee poet reportedly Quaker-like? (5,1,5)",SPEND A PENNY
Kid medic placed upside down (3),COD
"Reluctant worker regularly indulged, taking rest principally (5)",IDLER
Torch found under large rock (7),LIGNITE
"Got any bananas to go with bread and butter? (5,4)",NANNY GOAT
Textual marks written up in Vile Bodies (5),OBELI
Review written up about upper class actor (7),TROUPER
Soviet leaders surprisingly built awfully poor houses (9),POLITBURO
"Commanding soldiers wearing khaki, perhaps (11)",MAGISTERIAL
"Possible future leader proud to tour polar region on time (4,7)",VICE CAPTAIN
"Their guns will go off, of course (4,5)",SURE THING
Showed what merchant dreads perhaps in hearing (9),PORTRAYED
Old machine for printing newspaper (7),EXPRESS
Democrat and first lady see power as issue (7),DEVELOP
Sauce bottle? (5),NERVE
Law maker's final words not good (5),SOLON
City bank losing capital (3),ELY
"Walked in shallow water, or rowed in boat (7)",PADDLED
Puzzle concerning naval vessel turning over (5),REBUS
"Character with book showing area of countryside (6,7)",NATURE RESERVE
"A person selling pieces of wood, maybe: backing for garden structure (7)",PERGOLA
"One book by Sterne? Oddly, a different writer (5)",IBSEN
Mischief makers behind church — they're little monkeys (6),CHIMPS
"Just me, playing lyre (6)",MERELY
Saga inevitably reduced in length once more (5),AGAIN
"On day after Feb 28, talk endlessly about union (7)",MARITAL
"How one might go and dispose of some fishing tackle? (5,4,4)",SLING ONE'S HOOK
"Clergyman shot in billiard hall, we hear (5)",CANON
"Attack puts one out (3,4)",SET UPON
"Pen novel, record and throw cards in (9)",SHEEPFOLD
Criminal pursued and violently seized (7),USURPED
Scare off car on street allowing no freedom (11),DETERMINIST
"Weapon, and where it was used around China (6)",NAPALM
Writer's party drink with nothing in (9),BALLPOINT
Hit spy across bum for discipline (12),ASTROPHYSICS
"After month, old and new mopeds broken down (10)",DECOMPOSED
"Wise, perhaps, to release one bird (4)",ERNE
"Making public act of worship, including students (16)",DECLASSIFICATION
Time perhaps upsets heartless old priest (5),MAGUS
"Convict at last in cell, one not charged (7)",NEUTRON
"How one may pay, given warning sign in race (9,4)",CHEQUERED FLAG
"Eating everything common, regularly with cream (8)",OMNIVORY
"Where drinkers are mostly parking, about to drop litter (2,3)",IN PUP
"On stopping working, cake-maker is one announcing results (9,7)",RETURNING OFFICER
"Feature about pair of Poles in shipping, say (7)",TRANSIT
Former student ingesting one white powder (7),ALUMINA
"Sentence from father's wise for a migrant (4,2,7)",BIRD OF PASSAGE
Punctual after number twelve (8),NOONTIME
"A cold redhead in disguise, having many faces (12)",DODECAHEDRAL
Idler putting away small drink (5),WATER
Speak with a thug at northerly US city (11),CHATTANOOGA
"After pastries, drink wine (10)",PIESPORTER
A Spartan is to display determination (9),PERSEVERE
He explains old model has bad clothing (9),EXPOSITOR
"Dropping ecstasy, bad place to be after driving by (7)",THROUGH
"Object's round — try putting spin, perhaps, on it (7)",PROTEST
Freezing cold in large vehicle (6),ARCTIC
Symbolic artefact filled scripture the wrong way (5),TOTEM
Back off cow or its mate (4),BULL
Third of capital coming to nothing in Jersey? (3-3),MOO-COW
"Food ending on nightie, dessert knocked over in bed (6,2)",TUCKED UP
"Description of bottle found by team during arrest (5,3)",SCREW TOP
Bovine disease in insect not there (6),ABSENT
Odd characters in luck to see blurred image — long-sighted? (10),TELESCOPIC
"War poet old, otherwise making a comeback? (4)",OWEN
"Hard to save time, leave it (4)",STET
I have to pursue square dancing oft in routine (4-2-4),NINE-TO-FIVE
Summon artist to produce thrilling work (4-6),PAGE-TURNER
Adequate light (4),FAIR
Mucky duck possibly picked up? (4),FOUL
Record seen at game in capital city (10),MONTEVIDEO
"Sweet child, tell me, what might you do with that balloon? (6)",POPPET
"Expecting delivery soon, a short story by writer about Romeo (8)",PRENATAL
Warm soup's unwelcome visitor diner anxiously pokes (8),FRIENDLY
Archbishop feeding diocese in regular fashion (6),EVENLY
Actors improvised with her players (9),ORCHESTRA
Fine dash of liquor in what could become the hard stuff? (7),CLEMENT
Temple with a roof in Thailand (3),WAT
A little more tummy exposed then? (3-2),TOP-UP
Fish pie dinner ends in lovely French shop (11),CHARCUTERIE
"Weight finally taken off feet, sofa designed to relax (4,3)",EASE OFF
Bones served up in mean lunch (5),ULNAE
"Finished, coaster used harbours (11)",CONSUMMATED
Bread that may rise just the same? (3),NAN
"System of storing messages I love, I am about to receive a hundred (9)",VOICEMAIL
Obscure snippets in the midst of tweets (7),ECLIPSE
"Naval vessel, scandal of the day? (7)",FRIGATE
"Offensive at first, grim smell (5)",ODOUR
"Of both temperature and speed, brisk? (5)",NIPPY
Sense organ certainly aural? (3),EYE
Speed measurement for some circuits showing vehicle's a failure (8),GIGAFLOP
Army corps on the wagon right away? That's correct (6),REMEDY
"Order new Apple for friendly writer (3,3)",PEN PAL
"Solid complex houses odd liquid containers (3,5)",OIL DRUMS
Trendy Nick providing pouch for personal keys? (3-6),HIP POCKET
Impression made by TV lexicographer? (4),DENT
Old airline's slimmed down? It was once (4),TWAS
Box set (10),TELEVISION
"Denied Lord's official a tip (6,4)",REFUSE DUMP
"Casual woolly, back of which has faded (4)",AIRY
Measure of substance by the sound of it (4),METE
"Injured fore and aft at sea, one adult jumping off (9)",AFFRONTED
German relative allowed to give punishment (8),GAUNTLET
End part of sentence (6),OBJECT
Ruddy strong winds ending in tragedy (6),BLOWSY
Call James East to get good seats (8),RINGSIDE
"Who's going to support reserve performance? (3,4)",ICE SHOW
Something put in Christmas pudding is poisonous (3),ASP
"Dean's flower lady? (4,2,3,6)",LILY OF THE VALLEY
Some wine put down (5),PLONK
"No value in report scrapped, which could be this (8,7)",RELATIVE PRONOUN
"Inmates trod carelessly in cooler (4,7)",MORE DISTANT
Tenor in party getting Chinese duck (7),DOMINGO
"Doctor wept as nurse gets a more promising situation (8,3)",PASTURES NEW
Endlessly flashy man (3),LOU
"""Look closely"" I shout aloud (7)",EYEBALL
Discounted wine leader brought in (7),REDUCED
Pro restricts French and creates a stink (5),FETOR
Only 20 down sauce (3),JUS
Burly thief no longer to steal from Cockney drover (10),ROBERDSMAN
Society in central London area becomes British arty type (4),BOHO
"Some recalled recital, live, of Hamlet for old poet (8)",VILLATIC
Maori land at the time that returned to the French (6),WHENUA
Orphan has this hungry child’s affliction (4),NOMA
Out-of-this-world life study trounced mostly good oil by ex (10),EXOBIOLOGY
"Second in college trophy, one departs with a single point (9)",UNICUSPID
Strut around Hamilton with pasty-eating top executive (5),NA
"A rabbit, tail to the fore, gets measure of moles in time (5)",KATAL
"Tips for runner in a Middle East country, one replacing energy bar (5,4)",ARRIS RAIL
"Offer a pub dancing area and light show (5,5)",OPERA BUFFA
"Wine and ouzo, uncased, repelled native’s tongue (4)",Z
Condition of viewer and also listener comes in for scrutiny initially (6),ALBUGO
"State of old thoroughfare more manageable, so some say (8)",R
Base poem on retracting Islamic law (4),FIQH
Was I making cipher having pinched German instrument? (10),DIDGERIDOO
Stand around to sell posh material for the Royals? (5-4),RAVEN-DUCK
"After lifting, every so often big bomb is laid by fruit tree (7)",BILIMBI
Article is probing scarcely enlightened religious doctrine (8),DITHEISM
Comic ram-raid of bazaar ultimately damaged tiny fraction of storage unit (disused) (15),MICROMICROFARAD
Perhaps a person of St John’s extreme wisdom originally in fine novel (6),N
Grumble and scowl: plant needing fertiliser flown in (3-6),BEE-FLOWER
Suspended and endlessly set about old voodoo priest (7),HOUNGAN
Chaucer surprisingly getting name right in Caledonian rime (9),CRANREUCH
Grand spent by ace animal establishment getting tailed vulture (9),GALLINAZO
"Serving American artist fish, one that apparently burns (8)",GIRASOLE
Key one supports feature of mobile phone contracts (7),APPALTI
Grey clothing current in America is old fashioned (7),AGUISED
Birthday’s coming up: look to stop that old person's curse!,NA
"Beat or scolded delicate flower (7,6)",SLIPPER ORCHID
Checks speed of fabulous runner-up in holiday location (9),TIMESHARE
Programme run out on this is awaiting confirmation (5),APPRO
Concerned with offering of bones that’s accepted if here in Lourdes (11),SACRIFICIAL
Enjoy view in common area gardened regularly (5),AGREE
Outlaw ropes dead bucks (9),DESPERADO
"Firm with fine deferring 1,000 (4)",OAKY
Daughters displacing sons in round-campfire activity perhaps causing argument (4-4),DING-DONG
State's mineral aggregate almost exhausted (6),OREGON
"Ringing reporter, animated, criminal lain out after arrest (16)",TINTINNABULATION
"At no point omitting English during poor delivery, clipped and inarticulate? (3-6)",NON-VERBAL
Essence described by letter that backs description (7),EPITHET
"Out of practice, but with change of hands becoming strong (5)",LUSTY
"Grotto with gold holds a lure: take things at your own risk (6,6)",CAVEAT EMPTOR
Paris and Rome arranged by international producer (10),IMPRESARIO
A pro circle in which characters trade places with give and take (10),RECIPROCAL
"Outdated hierarchy made less fusty, somehow, not having succeeded (6,6)",FEUDAL SYSTEM
Bird of river and lake (5),OUSEL
"Check pressure during cricket, say (7)",INSPECT
Storage facility misses leaks (9),DISCLOSES
"Romantic writer's blue poem and wine capturing dearest's heart (6,2,8)",CYRANO DE BERGERAC
Football scout endlessly rings round (6),SOCCER
"Dealer secures old volume, customer offering little resistance (8)",PUSHOVER
"Deputy backing grievance, mostly (4)",VEEP
Plaster over outside toilet with people inside? (9),OCCUPANTS
Extract of gum: a mild taste (5),UMAMI
"Old Chinese leader, out of condition, returned rested for wedding (11)",MATRIMONIAL
"Act awkwardly with female then leave (2,3)",GO OFF
"A good chance of stable currency? (4,5)",EVEN MONEY
During Times final I solved very little (13),INFINITESIMAL
Old German in moving scene offers Christmas gift (12),FRANKINCENSE
Initially advise voter against keeping record in correspondence (7),ANALOGY
Doctor was madly grabbing royal undergarment (7),DRAWERS
Get air into smart accommodation close to Tube (7),INFLATE
Diminutive man on wagon welcomed to AA meeting (7),REGATTA
Girl absolutely losing weight (5),HOLLY
Laziness and rudeness to involve daughter rather than son (9),INDOLENCE
